Ward No,SubWard,Locality Names
11,,"Sudguru Layout, Kanshiram nagar, Anand Garden, Shingapura, Shingapura kere, Vinayaka Nagar, Varadharaja Nagar, Air Force area, Jalahalli East, Raghuram Layout, Ramachandrapura, Kalatturu Layout, Jarkhabandi State Forest, H V V Valley layout, Vishveswariah Enclave, Naidu Layout, Kuvempu Nagar, Venkatesh Nagar, Muniswamiappa Layout, Simhadri Layout, Govindayyana Palya (P), Raghavendra Colony, Defence Layout , Ganesh Layout,    M S Palya"
,,
,,
,,
12,,"Abbigere, Myadarahalli, Chikkasandra, Shettihalli, Nisarga Layout, Abbigere kere, Someshwara Layout, Achappa Layout, Vijayalaxmi Layout, Abbigere Dinne, Abbigere Layout, Muniswamiappa Layout, V R Layout, Kalyana Nagar, Kala Nagar, Kammagondanahalli, Jalahalli West, Raghavendra Layout, Subramanya Layout, Sri Mahalaxmi Layout, Venkateshwara Layout, Vinayaka Layout, Kempe Gowda Garden, S M R Layout, Paschima County, R R Layout, Sandhya Nagar, Dasappana Palya, Athmiya Geleyara Balaga Layout, Sapthagiri Colony, Anjanadri Layout, M Babanna Layout, Mallasandra (P), Krishna Nagar, Lake View Defence Colony, Cauvery Layout, Nandana Nagar, Brindavana Layout, Maruthi Nagar, Chikkanna Layout"
,,
,,
,,
13,,"Rajanna Layout, Mallasandra (P), Ravindra Nagar, Mathru Layout, Ayyappa Layout, BHEL Mini Colony, Kalyana Nagar, Prashanth Layout, Muneswara block"
,,
,,
,,
14,,"Sidedahalli, NMH Layout, Soundarya Layout, MHR Layout, Siddeshwar Layout, Meenakshi Garden Enclave, Kirloskar plots, Sampangi Layout, MEI Employees Housing Colony, Bagalakunte, Bagalakunte kere, Manjunath Nagar, Widia Kennametal industry, Defence Colony, Bhuvaneshwari Nagar, Havnoor Extension, M S Ramaiah Layout"
,,
,,
,,
15,,"Maheswari Nagar, T Dasarahalli, Om Colony"
,,
,,
,,
16,," HMT staff quarters, Jalahalli, BEL quarters"
,,
,,
,,
17,,"Poornappa Garden, Sundar Nagar, Gokul Extension, Badappa Garden, Muthyalamma Nagar, Tannirahalli, Matthikere kere (J P Park), SBM Colony, Brindavan Nagar, Mohan Kumar Nagar, LIC colony, Pampa Nagar, B K Nagar (P), Yeshwanthpur (P), Railway quarters"
,,
,,
,,
18,,"Lottegollanahalli, Venkatachary Nagar, HIG colony, RMV II stage, Dollar apartment, Krishna Layout, Amarajyothi Layout, Raj Mahal Vilas 2nd Stage 3rd block, Naidu Layout, Judicial colony, AECS Layout, Jaladarshini Layout, Geddalahalli"
,,
,,
,,
19,,"Bhupasandra, Vinayaka Layout, Excise colony, RMS colony, Nagashettihalli, Yajamana Layout, AECS Layout, Sanjaya Nagar, BPEHCS Layout, Ramakrishnappa Layout"
,,
,,
,,
20,,"UAS Campus, KEB Layout, UAS Staff Quarters, Vishveshvaraiah Nagar, Reserve Bank Colony, HMT Layout, Ganga Nagar, Venkappa Block, Gundappa Block."
,,
,,
,,
21,,"Hebbala. Kunti Betta, Chola Nagar, Amar Jyothi Layout, Chowdaiah Block, Anand Nagar Colony, UAS Quarters (P), MSH Layout, Anand Nagar."
,,
,,
,,
22,,"Gosaiya Slum, Guddahalli, V Nagenahalli, Yagappa Layout, Kanakanagar, IOE Layout, Cholanayakanahalli, Sultanpalya, Manorayanapalya (P)"
,,
,,
,,
23,,"Govindapura, Byrappa Layout, Irshad Nagar, Nagavara, Nanjappa Layout, Shampura (P), Gandhi Nagar, Kadugondanahalli, Hidayath Nagar"
,,
,,
,,
24,,"Byraveshawar Layout, Choudappa Layout, Hennuru, Punappa Layout, Kushal Nagar, , HRBR layout 1st block, HBR layout 2nd (P), 3rd, 4th and 5th  blocks, Nanjappa layout, Chennaiah layout"
,,
,,
,,
25,,"Nagreshwara Nagenahalli, Kottnur, K. Naraynapura, Geddalahalli, Amani Byrathikhana, Horamavu Agara, Chalkere, Horamavu, Banjara residency, Horamavu Agara Kere, Jyanthi Nagar, Asirwada Colony, M. Vishveswaraiah Nagara, Ragavendra Nagara, Muneshwara Nagar, Yerrayana Palya, Bovi Colony, Rammurthy Nagara, BSV Reddy Layout, Apparao Layout, Dassappa Layout, Krishnareddy Layout, Pappamma Layout, Mukkutam Nagara, Vigneshwara Layout, Ramaiah Layout, Kalumantapa, Munireddy Layout, Nandanam Colony, Anjannappa Layout, Nanjappa Garden, Bank Avenue, Babu Sahib Palya, Vijaylakshmi Colony."
,,
,,
,,
26,,"Kyalasanahalli, Kalkere, Kalkere Tank, K. Channasandra, Kanakanagara, Akshya Nagara, Dr. Ambedkar Nagar, Manjunath Layout, Chandravadana Layout, Ragavendra Extention, M. Vishveswaraiah Nagar, Kaudenahalli."
,,
,,
,,
27,,"HRBR Layout 1st and 2nd (P) blocks, PNS Layout, Subbayya playa extension, Chowdeshwari Layout, Jai Jawan Nagar, Yerra Reddy Layout, Ex-Servicemen colony, Ramaiah Layout, Banasavadi, Dodda Banasavadi, Annaiah Reddy Layout, Vijaya Bank Colony, OMBR Layout"
,,
,,
,,
28,,"Kammanahalli, Ramaswamy Palya, Subbayya Palya, Maruthi Seva Nagar (P)"
,,
,,
,,
